"IncNodePurity","feature"
1034328.48,"age"
181073.9659,"cMGhat2"
51766.74372,"lbdsbusi"
47072.34842,"lbxsbu"
36128.44464,"diuretic"
26191.75391,"ridexprg"
15331.05308,"race"
8537.749967,"uric"
7573.618901,"lbxsua"
6264.977347,"ridreth1"
6152.369381,"lbxsck"
5649.78013,"urxucr"
